pais,cod_pais,grado,dominio,estimulo,indicador,variable,grupo,asterisco,categoria_1,categoria_2,categoria_3,categoria_4,porcentaje_acuerdo,nota
Argentina,ar,3,Discursivo,Baile,Género,Sexo,Niños,0,41.66,29.56,17.39,11.39,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Sexo,Niñas,0,40.46,28.78,17.36,13.39,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Ruralidad,Zona Urbana,0,42.76,28.06,16.57,12.60,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Ruralidad,Zona Rural,0,25.14,39.28,24.42,11.16,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Nacional,País,1,41.00,29.20,17.40,12.50,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Sexo,Niños,0,37.79,28.62,9.48,24.11,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Sexo,Niñas,0,35.97,27.74,10.38,25.91,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Ruralidad,Zona Urbana,0,38.64,27.44,9.64,24.28,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Ruralidad,Zona Rural,0,20.22,34.24,13.44,32.09,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Nacional,País,1,36.80,28.10,10.00,25.10,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
