pais,cod_pais,grado,dominio,estimulo,indicador,variable,grupo,asterisco,categoria_1,categoria_2,categoria_3,categoria_4,porcentaje_acuerdo,nota
Argentina,ar,6,Discursivo,Animales,Género,Sexo,Niños,0,6.24,28.27,29.18,36.31,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Género,Sexo,Niñas,0,2.62,18.57,29.90,48.91,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Género,Ruralidad,Zona Urbana,0,4.30,22.47,29.67,43.56,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Género,Ruralidad,Zona Rural,0,4.69,32.34,28.14,34.83,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Género,Nacional,País,0,4.30,23.10,29.60,43.00,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Propósito y adecuación a la consigna,Sexo,Niños,0,12.34,11.82,31.97,43.87,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Propósito y adecuación a la consigna,Sexo,Niñas,0,8.86,11.96,33.20,45.97,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Propósito y adecuación a la consigna,Ruralidad,Zona Urbana,0,10.14,11.68,32.53,45.64,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Propósito y adecuación a la consigna,Ruralidad,Zona Rural,0,15.51,14.83,33.89,35.77,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,6,Discursivo,Animales,Propósito y adecuación a la consigna,Nacional,País,0,10.50,11.90,32.60,45.00,2.1,"Nota: En los gráficos se excluye el 2.1% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
